"Station Name","WHITECOURT"
"Province","ALBERTA"
"Latitude","54.14"
"Longitude","-115.78"
"Elevation","784.70"
"Climate Identifier","3067371"
"WMO Identifier",""
"TC Identifier","XZU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-05","1999","05","14.3","E","2.1","E","8.2","E","29.1","","-3.4","","94.8","E","0.0","","94.8","E","","",,"",,""
"1999-06","1999","06","18.0","","6.5","","12.3","","25.8","","1.2","","44.8","","0.0","","44.8","","0","",,"",,""
"1999-07","1999","07","19.7","","8.3","","14.0","","27.3","","1.8","","101.4","","0.0","","101.4","","","",,"",,""
"1999-08","1999","08","22.2","","9.7","","16.0","","28.1","","2.8","","25.8","","0.0","","25.8","","","",,"",,""
"1999-09","1999","09","16.2","","3.4","","9.8","","24.2","","-4.3","","9.4","E","2.0","E","11.4","E","","",,"",,""
"1999-10","1999","10","10.1","","-0.5","","4.9","","21.1","","-6.3","","4.6","","0.6","E","5.2","E","0","",,"",,""
"1999-11","1999","11","0.6","E","-7.4","E","-3.4","E","8.6","","-17.2","","2.2","E","3.2","E","5.4","E","","",,"",,""
"1999-12","1999","12","1.2","","-8.8","","-3.8","","16.1","","-21.4","","","","","","","","","",,"",,""
"2000-01","2000","01","-7.7","","-17.6","E","-12.7","E","4.5","","-28.8","","","","","","","","","",,"",,""
"2000-02","2000","02","-0.3","","-13.3","","-6.8","","8.3","","-26.6","","","","","","","","","",,"",,""
"2000-03","2000","03","4.1","E","-6.3","E","-1.1","E","13.4","","-13.9","","","","","","","","","",,"",,""
"2000-04","2000","04","9.3","","-2.9","","3.2","","19.2","","-14.2","","","","","","","","","",,"",,""
"2000-05","2000","05","13.0","","2.2","","7.6","","19.0","","-1.3","S","78.4","","0.0","","78.4","","","",,"",,""
"2000-06","2000","06","18.4","","6.9","","12.7","","26.2","","0.5","","86.4","","0.0","","86.4","","0","",,"",,""
"2000-07","2000","07","21.9","","10.6","","16.3","","27.3","","5.9","","119.6","","0.0","","119.6","","","",,"",,""
"2000-08","2000","08","18.4","E","8.2","E","13.3","E","28.2","","2.7","","46.2","E","0.0","","46.2","E","","",,"",,""
"2000-09","2000","09","15.0","","3.7","","9.3","","23.1","","-4.3","","58.0","","0.0","","58.0","","0","",,"",,""
"2000-10","2000","10","8.8","","-1.1","","3.9","","19.6","","-11.2","","9.4","","","","","","","",,"",,""
"2000-11","2000","11","1.1","","-8.2","","-3.6","","8.3","","-18.4","","","","","","","","","",,"",,""
"2000-12","2000","12","-9.1","E","-17.6","E","-13.4","E","10.5","","-32.2","","0.0","","","","","","","",,"",,""
"2001-01","2001","01","1.7","","-8.0","","-3.1","","13.3","","-14.9","","","","","","","","","",,"",,""
"2001-02","2001","02","-4.4","","-15.7","","-10.1","","12.0","","-26.0","","","","","","","","","",,"",,""
"2001-03","2001","03","4.3","","-7.0","","-1.3","","12.2","","-20.4","","","","","","","","","",,"",,""
"2001-04","2001","04","9.7","","-1.5","","4.1","","22.5","","-6.5","","","","","","","","","",,"",,""
"2001-05","2001","05","16.8","","4.2","","10.5","","25.2","","-2.6","","27.6","","0.0","","27.6","","0","",,"",,""
"2001-06","2001","06","17.9","E","7.4","E","12.7","E","25.9","","2.4","","80.4","E","0.0","","80.4","E","0","",,"",,""
"2001-07","2001","07","20.6","","10.2","","15.4","","30.0","","6.9","","199.2","","0.0","","199.2","","0","",,"",,""
"2001-08","2001","08","22.9","","8.9","","16.0","","29.4","","3.4","","19.8","","0.0","","19.8","","0","",,"",,""
"2001-09","2001","09","17.6","","4.1","","10.9","","28.2","","-0.7","","5.6","","0.0","","5.6","","0","",,"",,""
"2001-10","2001","10","7.9","","-2.2","","2.8","","16.7","","-10.3","","4.0","I","1.2","I","5.2","I","","",,"",,""
"2001-11","2001","11","1.3","E","-7.3","E","-3.0","E","12.5","","-22.4","","","","","","","","15","E",,"",,""
"2001-12","2001","12","-7.0","","-15.7","","-11.4","","6.5","","-24.8","","","","","","","","","",,"",,""
"2002-01","2002","01","-5.4","","-15.0","","-10.2","","11.4","","-31.1","","","","","","","","","",,"",,""
"2002-02","2002","02","0.9","","-9.4","","-4.2","","10.8","","-23.4","","","","","","","","","",,"",,""
"2002-03","2002","03","-5.5","","-16.9","","-11.2","","6.4","","-30.2","","0.0","","59.9","E","59.9","E","","",,"",,""
"2002-04","2002","04","4.3","","-5.8","","-0.8","","14.6","","-22.3","","1.4","E","45.2","E","46.6","E","0","",,"",,""
"2002-05","2002","05","14.0","","1.5","","7.8","","24.7","","-7.5","","8.7","E","9.4","E","18.1","E","0","",,"",,""
"2002-06","2002","06","22.0","","7.8","","14.9","","31.0","","1.5","","40.2","","0.0","","40.2","","0","",,"",,""
"2002-07","2002","07","22.8","","10.2","","16.6","","31.2","","2.7","","35.0","","0.0","","35.0","","0","",,"",,""
"2002-08","2002","08","20.7","","8.1","","14.4","","29.7","","3.0","","38.6","","0.0","","38.6","","0","",,"",,""
"2002-09","2002","09","13.7","","3.0","","8.4","","21.5","","-4.3","","32.4","","0.0","","32.4","","0","",,"",,""
"2002-10","2002","10","6.0","","-2.5","","1.8","","16.3","","-16.6","","14.4","I","","M","14.4","I","","",,"",,""
"2002-11","2002","11","3.1","","-5.0","","-0.9","","11.6","","-13.1","","","","","","","","","",,"",,""
"2002-12","2002","12","-2.9","","-10.9","","-6.9","","5.9","","-22.0","","","","","","","","1","E",,"",,""
"2003-01","2003","01","-6.6","","-15.5","","-11.1","","16.4","","-34.6","","","","","","","","","",,"",,""
"2003-02","2003","02","-3.1","","-11.9","","-7.5","","6.0","","-30.2","","","","","","","","","",,"",,""
"2003-03","2003","03","-1.1","","-12.4","","-6.8","","11.6","","-34.9","","","","","","","","","",,"",,""
"2003-04","2003","04","8.5","","-1.6","","3.5","","20.0","","-13.3","","17.1","","39.5","","54.2","","0","",,"",,""
"2003-05","2003","05","14.7","","3.0","","8.9","","28.2","","-3.6","","17.1","","23.7","E","44.8","","0","",,"",,""
"2003-06","2003","06","19.1","","7.9","","13.5","","28.4","","3.8","","49.8","","0.0","","49.8","","0","",,"",,""
