"Station Name","WHITEFISH BAY"
"Province","ONTARIO"
"Latitude","49.48"
"Longitude","-93.97"
"Elevation","410.60"
"Climate Identifier","6039465"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1914-01","1914","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-02","1914","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-03","1914","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-04","1914","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-05","1914","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-06","1914","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-07","1914","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-08","1914","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-09","1914","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-10","1914","10","","","","","","","","","","","16.8","","0.0","","16.8","","","",,"",,""
"1914-11","1914","11","","","","","","","","","","","10.4","","12.4","","22.9","","","",,"",,""
"1914-12","1914","12","","","","","","","","","","","0.0","","6.1","","6.1","","","",,"",,""
"1915-01","1915","01","","","","","","","","","","","0.0","","21.3","","21.3","","","",,"",,""
"1915-02","1915","02","","","","","","","","","","","12.7","","23.9","","36.6","","","",,"",,""
"1915-03","1915","03","","","","","","","","","","","0.0","","6.1","","6.1","","","",,"",,""
"1915-04","1915","04","","","","","","","","","","","119.4","","0.0","","119.4","","","",,"",,""
"1915-05","1915","05","","","","","","","","","","","46.5","","0.0","","46.5","","","",,"",,""
"1915-06","1915","06","","","","","","","","","","","182.4","","0.0","","182.4","","","",,"",,""
"1915-07","1915","07","","","","","","","","","","","29.2","","0.0","","29.2","","","",,"",,""
"1915-08","1915","08","","","","","","","","","","","6.9","","0.0","","6.9","","","",,"",,""
"1915-09","1915","09","","","","","","","","","","","87.6","","0.0","","87.6","","","",,"",,""
"1915-10","1915","10","","","","","","","","","","","16.8","","0.0","","16.8","","","",,"",,""
"1915-11","1915","11","","","","","","","","","","","28.7","","7.4","","36.1","","","",,"",,""
"1915-12","1915","12","","","","","","","","","","","0.0","","26.9","","26.9","","","",,"",,""
"1916-01","1916","01","","","","","","","","","","","0.0","","54.1","","54.1","","","",,"",,""
"1916-02","1916","02","","","","","","","","","","","0.0","","1.5","","1.5","","","",,"",,""
"1916-03","1916","03","","","","","","","","","","","0.0","","40.6","","40.6","","","",,"",,""
"1916-04","1916","04","","","","","","","","","","","55.9","","12.7","","68.6","","","",,"",,""
"1916-05","1916","05","","","","","","","","","","","84.3","","0.0","","84.3","","","",,"",,""
"1916-06","1916","06","","","","","","","","","","","53.8","","0.0","","53.8","","","",,"",,""
"1916-07","1916","07","","","","","","","","","","","85.6","","0.0","","85.6","","","",,"",,""
"1916-08","1916","08","","","","","","","","","","","64.8","","0.0","","64.8","","","",,"",,""
"1916-09","1916","09","","","","","","","","","","","50.8","","0.0","","50.8","","","",,"",,""
"1916-10","1916","10","","","","","","","","","","","41.9","","55.9","","97.8","","","",,"",,""
"1916-11","1916","11","","","","","","","","","","","0.0","","8.1","","8.1","","","",,"",,""
"1916-12","1916","12","","","","","","","","","","","0.0","","53.3","","53.3","","","",,"",,""
"1917-01","1917","01","","","","","","","","","","","0.0","","20.6","","20.6","","","",,"",,""
"1917-02","1917","02","","","","","","","","","","","0.0","","38.6","","38.6","","","",,"",,""
"1917-03","1917","03","","","","","","","","","","","12.7","","9.9","","22.6","","","",,"",,""
"1917-04","1917","04","","","","","","","","","","","45.2","","5.8","","51.1","","","",,"",,""
"1917-05","1917","05","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1917-06","1917","06","","","","","","","","","","","58.9","","0.0","","58.9","","","",,"",,""
"1917-07","1917","07","","","","","","","","","","","86.6","","0.0","","86.6","","","",,"",,""
"1917-08","1917","08","","","","","","","","","","","62.7","","0.0","","62.7","","","",,"",,""
"1917-09","1917","09","","","","","","","","","","","37.6","","0.0","","37.6","","","",,"",,""
"1917-10","1917","10","","","","","","","","","","","33.0","","46.0","","79.0","","","",,"",,""
"1917-11","1917","11","","","","","","","","","","","18.5","","5.3","","23.9","","","",,"",,""
"1917-12","1917","12","","","","","","","","","","","0.0","","21.8","","21.8","","","",,"",,""
"1918-01","1918","01","","","","","","","","","","","1.3","","29.7","","31.0","","","",,"",,""
"1918-02","1918","02","","","","","","","","","","","0.0","","18.5","","18.5","","","",,"",,""
"1918-03","1918","03","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1918-04","1918","04","","","","","","","","","","","19.1","","10.4","","29.5","","","",,"",,""
"1918-05","1918","05","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1918-06","1918","06","","","","","","","","","","","91.7","","0.0","","91.7","","","",,"",,""
"1918-07","1918","07","","","","","","","","","","","65.0","","0.0","","65.0","","","",,"",,""
"1918-08","1918","08","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1918-09","1918","09","","","","","","","","","","","13.5","","0.0","","13.5","","","",,"",,""
"1918-10","1918","10","","","","","","","","","","","58.4","","10.2","","68.6","","","",,"",,""
"1918-11","1918","11","","","","","","","","","","","15.0","","6.4","","21.3","","","",,"",,""
"1918-12","1918","12","","","","","","","","","","","0.0","","35.8","","35.8","","","",,"",,""
"1919-01","1919","01","","","","","","","","","","","0.0","","5.3","","5.3","","","",,"",,""
"1919-02","1919","02","","","","","","","","","","","0.0","","16.3","","16.3","","","",,"",,""
"1919-03","1919","03","","","","","","","","","","","24.9","","30.2","","55.1","","","",,"",,""
"1919-04","1919","04","","","","","","","","","","","43.7","","17.8","","61.5","","","",,"",,""
"1919-05","1919","05","","","","","","","","","","","58.7","","0.0","","58.7","","","",,"",,""
"1919-06","1919","06","","","","","","","","","","","127.3","","0.0","","127.3","","","",,"",,""
"1919-07","1919","07","","","","","","","","","","","191.8","","0.0","","191.8","","","",,"",,""
"1919-08","1919","08","","","","","","","","","","","48.5","","0.0","","48.5","","","",,"",,""
"1919-09","1919","09","","","","","","","","","","","101.9","","0.0","","101.9","","","",,"",,""
"1919-10","1919","10","","","","","","","","","","","39.9","","14.2","","54.1","","","",,"",,""
"1919-11","1919","11","","","","","","","","","","","0.0","","21.6","","21.6","","","",,"",,""
"1919-12","1919","12","","","","","","","","","","","0.0","","10.7","","10.7","","","",,"",,""
"1920-01","1920","01","","","","","","","","","","","0.0","","36.6","","36.6","","","",,"",,""
"1920-02","1920","02","","","","","","","","","","","0.0","","8.4","","8.4","","","",,"",,""
"1920-03","1920","03","","","","","","","","","","","20.6","","24.9","","45.5","","","",,"",,""
"1920-04","1920","04","","","","","","","","","","","15.0","","14.2","","29.2","","","",,"",,""
"1920-05","1920","05","","","","","","","","","","","124.2","","0.0","","124.2","","","",,"",,""
"1920-06","1920","06","","","","","","","","","","","18.8","","0.0","","18.8","","","",,"",,""
"1920-07","1920","07","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
"1920-08","1920","08","","","","","","","","","","","66.5","","0.0","","66.5","","","",,"",,""
"1920-09","1920","09","","","","","","","","","","","78.2","","0.0","","78.2","","","",,"",,""
"1920-10","1920","10","","","","","","","","","","","19.8","","0.0","","19.8","","","",,"",,""
"1920-11","1920","11","","","","","","","","","","","24.6","","15.0","","39.6","","","",,"",,""
"1920-12","1920","12","","","","","","","","","","","0.0","","51.6","","51.6","","","",,"",,""
"1921-01","1921","01","","","","","","","","","","","0.0","","19.8","","19.8","","","",,"",,""
"1921-02","1921","02","","","","","","","","","","","0.0","","33.5","","33.5","","","",,"",,""
"1921-03","1921","03","","","","","","","","","","","2.5","","33.5","","36.1","","","",,"",,""
"1921-04","1921","04","","","","","","","","","","","32.0","","9.7","","41.7","","","",,"",,""
"1921-05","1921","05","","","","","","","","","","","16.0","","0.0","","16.0","","","",,"",,""
"1921-06","1921","06","","","","","","","","","","","22.4","","0.0","","22.4","","","",,"",,""
"1921-07","1921","07","","","","","","","","","","","98.6","","0.0","","98.6","","","",,"",,""
"1921-08","1921","08","","","","","","","","","","","75.7","","0.0","","75.7","","","",,"",,""
