"Station Name","WHITESAND DAM"
"Province","SASKATCHEWAN"
"Latitude","56.23"
"Longitude","-103.15"
"Elevation","344.00"
"Climate Identifier","4068840"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1937-01","1937","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-02","1937","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-03","1937","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-04","1937","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-05","1937","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-06","1937","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-07","1937","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-08","1937","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-09","1937","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-10","1937","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-11","1937","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1937-12","1937","12","","","","","","","","","","","0.0","","41.9","","41.9","","","",,"",,""
"1938-01","1938","01","-17.6","","-27.3","","-22.5","","-3.3","","-41.1","","0.0","","16.5","","16.5","","","",,"",,""
"1938-02","1938","02","-16.0","","-25.8","","-20.9","","5.6","","-43.3","","0.0","","26.7","","26.7","","","",,"",,""
"1938-03","1938","03","-1.7","","-14.9","","-8.3","","6.7","S","-31.1","","0.0","","25.4","","25.4","","","",,"",,""
"1938-04","1938","04","-2.7","","-10.6","","-6.7","","7.8","","-28.9","","1.0","","26.7","","27.7","","","",,"",,""
"1938-05","1938","05","5.7","","0.5","","3.1","","15.6","","-7.8","","40.1","","6.4","","46.5","","","",,"",,""
"1938-06","1938","06","14.6","","5.1","","9.9","","24.4","","0.0","S","44.7","","0.0","","44.7","","","",,"",,""
"1938-07","1938","07","16.8","","9.8","","13.3","","24.4","","3.3","","46.5","","0.0","","46.5","","","",,"",,""
"1938-08","1938","08","14.5","","7.7","","11.1","","20.0","S","0.0","","85.3","","0.0","","85.3","","","",,"",,""
"1938-09","1938","09","13.5","","5.1","","9.3","","20.0","","-4.4","","12.2","","0.0","","12.2","","","",,"",,""
"1938-10","1938","10","7.6","","-0.7","","3.5","","16.7","","-7.8","","19.3","","0.0","T","19.3","","","",,"",,""
"1938-11","1938","11","-9.0","","-13.6","","-11.3","","-2.2","S","-30.0","","0.0","","51.6","","51.6","","","",,"",,""
"1938-12","1938","12","-13.3","","-18.4","","-15.9","","-1.1","","-36.1","","0.0","","27.9","","27.9","","","",,"",,""
"1939-01","1939","01","-21.2","","-28.1","","-24.7","","-7.8","","-44.4","","0.0","","55.9","","55.9","","","",,"",,""
