"Station Name","WILLIAM HEAD"
"Province","BRITISH COLUMBIA"
"Latitude","48.34"
"Longitude","-123.54"
"Elevation","12.20"
"Climate Identifier","1018935"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-05","1959","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-06","1959","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-08","1959","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-09","1959","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-10","1959","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-11","1959","11","","M","","M","","M","15.6","S","","M","","M","","M","","M","","",,"",,""
"1959-12","1959","12","8.4","","2.8","","5.6","","13.3","S","-1.1","","140.7","","0.0","","140.7","","","",,"",,""
"1960-01","1960","01","7.1","","2.4","","4.8","","13.3","","-1.7","S","123.2","","0.0","T","123.2","","","",,"",,""
"1960-02","1960","02","8.6","","3.6","","6.1","","11.1","S","-1.1","","81.3","","0.0","","81.3","","","",,"",,""
"1960-03","1960","03","9.7","","2.9","","6.3","","16.1","","-3.3","","77.2","","14.2","","91.4","","","",,"",,""
"1960-04","1960","04","13.0","","6.1","","9.6","","20.0","","2.2","S","52.1","","0.0","","52.1","","","",,"",,""
"1960-05","1960","05","14.8","","7.5","","11.2","","18.3","","5.0","S","123.7","","0.0","","123.7","","","",,"",,""
"1960-06","1960","06","18.4","","9.9","","14.2","","22.8","","7.8","","12.2","","0.0","","12.2","","","",,"",,""
"1960-07","1960","07","23.1","","11.2","","17.2","","28.9","","8.9","","0.0","","0.0","","0.0","","","",,"",,""
"1960-08","1960","08","20.3","","11.8","","16.1","","31.1","","8.9","","19.8","","0.0","","19.8","","","",,"",,""
"1960-09","1960","09","17.0","","9.2","","13.1","","21.1","","6.7","","10.7","","0.0","","10.7","","","",,"",,""
"1960-10","1960","10","13.3","","8.0","","10.7","","18.9","","4.4","","86.1","","0.0","","86.1","","","",,"",,""
"1960-11","1960","11","9.6","","4.8","","7.2","","12.8","","1.7","S","114.6","","0.0","","114.6","","","",,"",,""
"1960-12","1960","12","8.2","","3.5","","5.9","","12.8","","0.6","","","M","0.0","","","M","","",,"",,""
"1961-01","1961","01","9.4","","3.9","","6.7","","12.8","S","0.6","","183.6","","0.0","","183.6","","","M",,"",,""
"1961-02","1961","02","9.6","","4.4","","7.0","","12.8","","-0.6","","225.0","","0.0","","225.0","","0","",,"",,""
"1961-03","1961","03","10.8","","4.3","","7.6","","14.4","S","0.0","S","72.4","","5.3","","77.7","","","M",,"",,""
"1961-04","1961","04","12.0","","6.0","","9.0","","16.1","","2.2","S","39.4","","0.0","","39.4","","0","",,"",,""
"1961-05","1961","05","15.4","","8.2","","11.8","","22.8","","5.6","","19.6","","0.0","","19.6","","","M",,"",,""
"1961-06","1961","06","19.7","","10.7","","15.2","","25.6","S","7.8","S","","M","","M","","M","","M",,"",,""
"1961-07","1961","07","22.1","","12.6","","17.4","","28.9","","9.4","S","6.4","","0.0","","6.4","","","M",,"",,""
