"Station Name","YATES LO"
"Province","ALBERTA"
"Latitude","59.90"
"Longitude","-116.33"
"Elevation","304.80"
"Climate Identifier","3077678"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1969-01","1969","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-02","1969","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-03","1969","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-04","1969","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-05","1969","05","","M","","M","","M","25.0","","-8.3","","","M","","M","","M","0","",,"",,""
"1969-06","1969","06","19.4","","4.0","","11.7","","31.7","","-6.7","","23.1","","0.0","","23.1","","0","",,"",,""
"1969-07","1969","07","22.5","","6.8","","14.7","","29.4","","0.6","","26.9","","0.0","","26.9","","0","",,"",,""
"1969-08","1969","08","19.7","","5.9","","12.8","","26.1","","2.2","","","M","0.0","","","M","0","",,"",,""
"1969-09","1969","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-10","1969","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-11","1969","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-12","1969","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-01","1970","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-05","1970","05","","M","","M","","M","21.7","","","M","","M","","M","","M","0","",,"",,""
"1970-06","1970","06","22.1","","8.1","","15.1","","32.2","","-1.1","","17.8","","0.0","","17.8","","0","",,"",,""
"1970-07","1970","07","23.0","","9.5","","16.3","","32.8","","5.6","S","33.5","","0.0","","33.5","","0","",,"",,""
"1970-08","1970","08","20.8","","6.7","","13.8","","32.2","","-2.8","","65.3","","0.0","","65.3","","0","",,"",,""
"1970-09","1970","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-10","1970","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-11","1970","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-12","1970","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-01","1971","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","19.1","","2.9","","11.0","","30.6","","-7.8","","","M","9.1","","","M","0","",,"",,""
"1971-06","1971","06","23.4","","8.3","","15.9","","30.6","","5.0","S","8.4","","0.0","","8.4","","0","",,"",,""
"1971-07","1971","07","23.6","","8.7","","16.2","","31.1","","3.9","","38.6","","0.0","","38.6","","0","",,"",,""
"1971-08","1971","08","23.4","","7.3","","15.4","","36.1","","2.2","S","25.9","","0.0","","25.9","","0","",,"",,""
"1971-09","1971","09","13.3","","-0.1","","6.6","","22.8","","-11.1","","14.2","","0.0","T","14.2","","0","",,"",,""
"1971-10","1971","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-11","1971","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","15.6","","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","17.6","","0.2","","8.9","","33.9","","-7.8","","20.1","","0.0","","20.1","","0","",,"",,""
"1972-06","1972","06","20.6","","5.9","","13.3","","27.8","S","-1.7","S","47.2","","0.0","","47.2","","0","",,"",,""
"1972-07","1972","07","22.5","","6.9","","14.7","","28.9","","1.7","","55.6","","0.0","","55.6","","0","",,"",,""
"1972-08","1972","08","22.7","","7.6","","15.2","","30.0","","2.2","","35.1","","0.0","","35.1","","0","",,"",,""
"1972-09","1972","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-10","1972","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-11","1972","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-12","1972","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
