"Station Name","YATHKYED LAKE (AUT)"
"Province","NUNAVUT"
"Latitude","62.71"
"Longitude","-98.29"
"Elevation","148.20"
"Climate Identifier","2304058"
"WMO Identifier",""
"TC Identifier","WJY"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-05","1998","05","0.4","E","-5.5","E","-2.5","E","4.6","E","-12.2","E","0.0","","42.0","","42.0","","","",,"",,""
"1998-06","1998","06","10.2","E","2.0","E","6.1","E","20.2","B","-2.3","B","","","","","","","0","",,"",,""
"1998-07","1998","07","16.7","E","8.8","E","12.8","E","25.3","E","4.6","E","","","","","","","0","",,"",,""
"1998-08","1998","08","17.2","E","9.8","E","13.5","E","29.8","E","5.5","E","","","","","","","0","",,"",,""
"1998-09","1998","09","9.2","E","4.8","E","7.0","E","17.5","E","1.0","B","","","","","","","","",,"",,""
"1998-10","1998","10","","","","","","","","","","","","","","","","","","",,"",,""
"1998-11","1998","11","","","","","","","","","","","","","","","","","","",,"",,""
"1998-12","1998","12","","","","","","","","","","","","","","","","","","",,"",,""
"1999-01","1999","01","","","","","","","","","","","","","","","","","","",,"",,""
"1999-02","1999","02","","","","","","","","","","","","","","","","","","",,"",,""
"1999-03","1999","03","","","","","","","","","","","","","","","","","","",,"",,""
"1999-04","1999","04","-5.9","I","-15.2","I","-11.0","I","-3.5","I","-17.9","I","0.0","I","29.2","I","29.2","I","","",,"",,""
"1999-05","1999","05","-1.4","I","-8.1","I","-4.6","I","4.6","I","-16.4","I","3.0","","9.0","E","12.0","","","",,"",,""
"1999-06","1999","06","","","","","","","","","","","","","","","","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","16.0","","0.0","","16.0","","","",,"",,""
"1999-08","1999","08","12.9","I","7.7","I","10.3","I","20.8","I","3.4","I","50.0","","0.0","","50.0","","","",,"",,""
"1999-09","1999","09","7.8","","2.5","","5.2","","19.6","","-3.8","","23.0","","0.0","","23.0","","0","",,"",,""
"1999-10","1999","10","-3.3","","-8.2","","-5.8","","1.3","S","-19.7","","0.0","","21.0","E","21.0","","","",,"",,""
"1999-11","1999","11","-12.1","","-19.3","","-15.7","","1.0","","-27.8","S","0.0","","16.0","E","16.0","","","",,"",,""
"1999-12","1999","12","-19.4","","-26.9","","-23.2","","-5.3","S","-36.5","","0.0","","16.0","E","16.0","","","",,"",,""
"2000-01","2000","01","-23.7","","-30.4","","-27.0","","-2.0","S","-38.3","S","0.0","","22.0","E","22.0","","","",,"",,""
"2000-02","2000","02","","","","","","","","","","","","","","","","","","",,"",,""
"2000-03","2000","03","","","","","","","","","","","","","","","","","","",,"",,""
"2000-04","2000","04","","","","","","","","","","","","","","","","","","",,"",,""
"2000-05","2000","05","-2.0","I","-8.1","I","-5.1","I","1.3","I","-14.9","I","5.0","I","9.2","I","14.2","I","","",,"",,""
"2000-06","2000","06","4.4","","-2.7","","0.9","","13.9","","-11.6","","2.0","","1.0","E","3.0","","0","",,"",,""
"2000-07","2000","07","17.7","","7.9","","12.8","","26.2","","0.7","S","33.0","","0.0","","33.0","","0","",,"",,""
"2000-08","2000","08","15.3","","8.8","","12.1","","26.5","","1.0","","73.0","","0.0","","73.0","","0","",,"",,""
"2000-09","2000","09","6.0","","1.0","","3.5","","16.9","","-6.8","S","31.0","","3.0","E","34.0","","","M",,"",,""
"2000-10","2000","10","-2.8","","-9.7","","-6.2","","3.4","","-20.3","","2.0","","29.0","E","31.0","","","",,"",,""
"2000-11","2000","11","-13.8","","-22.2","","-18.0","","-2.9","S","-33.8","","0.0","","14.0","E","14.0","","","",,"",,""
"2000-12","2000","12","-25.2","","-31.1","","-28.1","","-9.5","S","-38.3","","0.0","","18.0","E","18.0","","","",,"",,""
"2001-01","2001","01","-22.3","","-31.3","","-26.8","","-7.1","S","-39.5","","0.0","","13.0","E","13.0","","","",,"",,""
"2001-02","2001","02","-24.7","","-32.6","","-28.7","","-11.0","","-38.9","","0.0","","10.0","E","10.0","","","",,"",,""
"2001-03","2001","03","-16.2","","-24.6","","-20.4","","-5.9","","-36.5","","","","","","","","","",,"",,""
"2001-04","2001","04","-9.5","","-20.2","","-14.9","","3.7","","-30.5","","0.0","","7.0","E","7.0","","","",,"",,""
"2001-05","2001","05","0.3","","-5.9","","-2.8","","7.3","S","-20.6","S","12.0","","11.0","E","23.0","","","",,"",,""
"2001-06","2001","06","9.7","","1.2","","5.5","","20.8","","-3.2","","","","","","","","0","",,"",,""
"2001-07","2001","07","16.4","","9.2","","12.8","","23.5","","2.5","","59.0","","0.0","","59.0","","0","",,"",,""
"2001-08","2001","08","","","","","","","","","","","","","","","","","","",,"",,""
