"Station Name","YELLOWKNIFE CS"
"Province","NORTHWEST TERRITORIES"
"Latitude","62.47"
"Longitude","-114.45"
"Elevation","210.00"
"Climate Identifier","2204155"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-07","1997","07","22.1","E","13.5","E","17.8","E","30.5","E","8.1","","20.4","E","0.0","","20.4","E","0","",,"",,""
"1997-08","1997","08","19.8","","11.8","","15.8","","31.7","","2.5","","27.0","","0.0","","27.0","","0","",,"",,""
"1997-09","1997","09","13.1","E","6.5","E","9.8","E","21.7","","0.2","","42.2","","5.0","E","47.2","E","","",,"",,""
"1997-10","1997","10","-2.1","","-6.7","","-4.4","","5.0","","-18.5","","10.4","I","3.4","I","13.8","I","","",,"",,""
"1997-11","1997","11","-6.3","","-12.6","","-9.5","","2.9","","-26.2","","0.0","","3.0","I","3.0","I","","",,"",,""
"1997-12","1997","12","-12.0","","-19.4","","-15.8","","-2.4","","-37.0","","","","","","","","","",,"",,""
"1998-01","1998","01","-25.0","","-30.5","","-27.8","","-14.4","","-39.9","","","","","","","","","",,"",,""
"1998-02","1998","02","-13.5","","-20.4","","-17.0","","-5.6","","-26.5","","","","","","","","","",,"",,""
"1998-03","1998","03","-8.5","","-20.2","","-14.4","","4.2","","-34.3","","","","","","","","","",,"",,""
"1998-04","1998","04","6.2","E","-4.8","E","0.7","E","16.0","","-14.1","","10.0","E","5.6","E","15.6","E","","",,"",,""
"1998-05","1998","05","14.8","","4.3","","9.6","","24.3","","-2.5","","","","","","","","0","E",,"",,""
"1998-06","1998","06","19.5","","11.2","","15.4","","25.8","","3.3","","40.6","","0.0","","40.6","","0","",,"",,""
"1998-07","1998","07","23.7","","14.5","","19.1","","30.7","","9.2","","12.2","","0.0","","12.2","","0","",,"",,""
"1998-08","1998","08","19.5","","12.0","","15.8","","28.6","","5.2","","51.8","","0.0","","51.8","","0","",,"",,""
"1998-09","1998","09","12.0","","5.1","","8.6","","18.1","","-0.9","","37.4","","0.0","","37.4","","","",,"",,""
"1998-10","1998","10","4.7","","0.3","","2.5","","14.4","","-6.7","","21.6","E","21.8","E","43.4","E","","",,"",,""
"1998-11","1998","11","-4.3","","-8.8","","-6.6","","3.0","","-19.6","","","","","","","","","",,"",,""
"1998-12","1998","12","-15.1","","-22.7","","-18.9","","-3.0","","-39.0","","","","","","","","","",,"",,""
"1999-01","1999","01","-22.7","","-29.4","","-26.1","","-10.6","","-39.7","","","","","","","","","",,"",,""
"1999-02","1999","02","-12.2","","-20.1","","-16.2","","-1.8","","-31.0","","","","","","","","","",,"",,""
"1999-03","1999","03","-5.5","","-15.8","","-10.7","","6.2","","-28.8","","0.8","","20.6","E","21.4","","","",,"",,""
"1999-04","1999","04","2.1","","-9.0","","-3.5","","12.4","","-20.4","","","","","","","","","",,"",,""
"1999-05","1999","05","10.0","","0.7","","5.4","","21.7","","-8.3","","13.8","","0.0","","13.8","","0","",,"",,""
"1999-06","1999","06","17.9","","9.0","","13.5","","29.6","","2.3","","6.8","","0.0","","6.8","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","","","","","","","","",,"",,""
"1999-08","1999","08","","","","","","","","","","","","","","","","","","",,"",,""
"1999-09","1999","09","","","","","","","","","","","","","","","","","","",,"",,""
"1999-10","1999","10","","","","","","","","","","","","","","","","","","",,"",,""
"1999-11","1999","11","","","","","","","","","","","","","","","","","","",,"",,""
"1999-12","1999","12","","","","","","","","","","","","","","","","","","",,"",,""
"2000-01","2000","01","","","","","","","","","","","","","","","","","","",,"",,""
"2000-02","2000","02","","","","","","","","","","","","","","","","","","",,"",,""
"2000-03","2000","03","-30.1","","-38.0","","-34.1","","-23.3","","-49.6","","","","","","","","","",,"",,""
"2000-04","2000","04","-26.9","","-33.8","","-30.4","","-20.4","","-44.1","","0.0","","","","","","","",,"",,""
"2000-05","2000","05","-21.9","","-26.3","","-24.1","","-19.2","S","-31.5","","0.0","","","","","","","",,"",,""
"2000-06","2000","06","21.2","I","11.5","I","16.5","I","27.7","I","8.1","I","43.8","","0.0","","43.8","","0","",,"",,""
"2000-07","2000","07","23.1","","15.0","","19.1","","28.1","","9.6","","35.6","","0.0","","35.6","","0","",,"",,""
"2000-08","2000","08","16.3","","9.5","","13.0","","29.3","","2.6","","103.4","","0.0","","103.4","","0","",,"",,""
"2000-09","2000","09","8.7","","3.1","","5.9","","15.6","","-5.4","","15.6","","0.0","","15.6","","0","",,"",,""
"2000-10","2000","10","1.5","","-4.2","","-1.3","","9.0","","-20.6","","3.0","","1.6","E","4.6","","","",,"",,""
"2000-11","2000","11","-6.8","","-14.7","","-10.8","","2.1","","-26.7","","","","","","","","","",,"",,""
"2000-12","2000","12","-24.6","","-31.8","","-28.2","","-4.9","","-41.2","","","","","","","","","",,"",,""
"2001-01","2001","01","-14.5","","-21.9","","-18.2","","-6.4","","-30.8","","","","","","","","","",,"",,""
"2001-02","2001","02","-17.6","","-27.1","","-22.4","","4.4","","-38.4","","","","","","","","","",,"",,""
"2001-03","2001","03","-10.2","","-21.0","","-15.6","","1.9","","-34.4","","","","","","","","","",,"",,""
"2001-04","2001","04","1.7","","-11.1","","-4.7","","10.6","","-23.2","","8.4","","0.0","","8.4","","","",,"",,""
"2001-05","2001","05","9.1","","0.1","","4.6","","21.3","","-9.6","","34.2","","0.0","","34.2","","0","",,"",,""
"2001-06","2001","06","18.9","","9.1","","14.0","","28.8","","3.5","","5.6","","0.0","","5.6","","0","",,"",,""
"2001-07","2001","07","21.9","","13.7","","17.8","","27.2","","8.8","","55.4","","0.0","","55.4","","0","",,"",,""
"2001-08","2001","08","17.8","","10.7","","14.2","","27.1","","6.6","","73.4","","0.0","","73.4","","0","",,"",,""
"2001-09","2001","09","14.0","","7.1","","10.6","","21.1","","1.1","","49.2","","0.0","","49.2","","0","",,"",,""
"2001-10","2001","10","0.9","","-4.0","","-1.6","","9.4","","-14.1","","2.8","","1.6","E","4.4","","","",,"",,""
"2001-11","2001","11","-7.8","","-14.4","","-11.1","","0.8","","-31.1","","","","","","","","","",,"",,""
"2001-12","2001","12","-17.3","","-25.3","","-21.3","","-1.9","","-36.2","","","","","","","","","",,"",,""
"2002-01","2002","01","-21.0","","-28.3","","-24.7","","-5.3","","-42.6","","","","","","","","","",,"",,""
"2002-02","2002","02","-18.2","","-27.4","","-22.8","","-10.7","","-37.5","","","","","","","","","",,"",,""
"2002-03","2002","03","-14.5","","-26.9","","-20.7","","-0.4","","-37.4","","","","","","","","","",,"",,""
"2002-04","2002","04","-4.0","","-17.6","","-10.8","","6.9","","-28.0","","1.2","","","","","","","",,"",,""
"2002-05","2002","05","6.0","","-5.1","","0.4","","20.9","","-18.0","","1.4","","0.0","","1.4","","0","",,"",,""
"2002-06","2002","06","19.3","","8.5","","13.9","","25.4","","2.5","","17.0","","0.0","","17.0","","0","",,"",,""
"2002-07","2002","07","20.8","","12.1","","16.5","","26.2","","7.4","","98.4","","0.0","","98.4","","0","",,"",,""
"2002-08","2002","08","16.1","","8.7","","12.4","","24.0","","1.3","","48.2","","0.0","","48.2","","0","",,"",,""
"2002-09","2002","09","10.5","","4.9","","7.7","","17.2","","-1.3","","24.2","","0.0","","24.2","","0","",,"",,""
"2002-10","2002","10","-0.4","","-6.3","","-3.4","","8.7","","-16.6","","9.6","","3.4","E","13.0","","","",,"",,""
"2002-11","2002","11","-7.7","","-14.4","","-11.1","","4.3","","-23.7","S","","","","","","","","",,"",,""
"2002-12","2002","12","-10.8","","-17.0","","-13.9","","-0.3","","-26.2","","","","","","","","","",,"",,""
"2003-01","2003","01","-21.8","","-29.1","","-25.5","","1.4","","-39.2","","","","","","","","","",,"",,""
"2003-02","2003","02","","","","","","","","","","","","","","","","","","",,"",,""
"2003-03","2003","03","-12.7","","-24.5","","-18.7","","2.1","","-40.9","","","","","","","","","",,"",,""
"2003-04","2003","04","2.9","","-7.6","","-2.4","","13.9","","-28.2","","7.8","","0.0","I","7.8","I","0","",,"",,""
"2003-05","2003","05","10.3","","0.1","","5.2","","21.9","","-11.0","","17.8","","0.0","","17.8","","0","",,"",,""
"2003-06","2003","06","17.2","","7.9","","12.6","","24.8","","0.0","","35.6","","0.0","","35.6","","0","",,"",,""
"2003-07","2003","07","22.3","","13.3","","17.8","","29.2","","8.8","","12.2","","0.0","","12.2","","0","",,"",,""
"2003-08","2003","08","18.4","","10.2","","14.4","","28.8","","6.1","","68.0","","0.0","","68.0","","0","",,"",,""
"2003-09","2003","09","18.2","I","9.7","I","14.0","I","22.3","I","6.8","I","1.8","I","","","","","","",,"",,""
"2003-10","2003","10","","","","","","","","","","","","","","","","","","",,"",,""
"2003-11","2003","11","-14.0","I","-22.3","I","-18.1","I","-5.8","I","-33.3","I","0.0","I","","","","","","",,"",,""
"2003-12","2003","12","-14.1","","-21.5","","-17.9","","-2.1","","-30.8","","","","","","","","","",,"",,""
"2004-01","2004","01","-24.9","","-32.8","","-28.9","","-8.9","","-42.9","","","","","","","","","",,"",,""
"2004-02","2004","02","-15.9","","-25.4","","-20.7","","-8.1","","-37.8","","","","","","","","","",,"",,""
"2004-03","2004","03","-11.6","","-25.3","","-18.5","","8.7","","-42.5","","","","","","","","","",,"",,""
"2004-04","2004","04","-1.4","","-15.0","","-8.2","","7.0","","-25.4","","","","","","","","","",,"",,""
"2004-05","2004","05","3.8","","-6.5","","-1.3","","16.4","S","-18.9","","","","","","","","0","",,"",,""
"2004-06","2004","06","16.9","","6.6","","11.8","","28.7","","2.8","","1.2","","0.0","","1.2","","0","",,"",,""
