"Station Name","YOHO NP WAPTA LAKE"
"Province","BRITISH COLUMBIA"
"Latitude","51.45"
"Longitude","-116.33"
"Elevation","1645.90"
"Climate Identifier","117900R"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1974-01","1974","01","-9.2","","-18.1","","-13.7","","1.7","S","-35.0","","0.0","T","174.8","","174.8","","152","",,"",,""
"1974-02","1974","02","-2.9","","-9.1","","-6.0","","0.0","","-15.0","","0.0","","61.4","","61.4","","144","",,"",,""
"1974-03","1974","03","-0.4","","-11.2","","-5.8","","6.7","S","-28.3","S","0.0","","74.9","","74.9","","139","",,"",,""
"1974-04","1974","04","7.1","","-3.6","","1.8","","16.1","","-15.6","","0.0","","15.2","","15.2","","83","",,"",,""
"1974-05","1974","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-06","1974","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-07","1974","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-08","1974","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-09","1974","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-10","1974","10","8.3","","-4.5","","1.9","","","M","","M","3.8","","14.0","","17.8","","0","",,"",,""
"1974-11","1974","11","-2.9","","-10.0","","-6.5","","5.6","","-20.6","S","0.0","","116.8","","116.8","","46","",,"",,""
"1974-12","1974","12","-5.7","","-11.9","","-8.8","","-1.7","","-29.4","","0.0","","100.3","","100.3","","79","",,"",,""
"1975-01","1975","01","-9.6","","-17.7","","-13.7","","-1.7","","-38.9","","0.0","","105.7","","105.7","","107","",,"",,""
"1975-02","1975","02","-9.6","","-20.2","","-14.9","","-1.1","","-36.7","","0.0","","60.2","","60.2","","122","",,"",,""
"1975-03","1975","03","-1.7","","-13.3","","-7.5","","3.9","","-27.8","","0.0","","0.0","","0.0","","0","",,"",,""
"1975-04","1975","04","4.7","","-9.1","","-2.2","","11.7","","-27.8","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1975-05","1975","05","10.6","","-1.2","","4.7","","17.2","","-6.7","","21.6","","0.0","T","21.6","","0","",,"",,""
"1975-06","1975","06","14.4","","1.7","","8.1","","22.2","","-3.3","","101.3","","0.0","","101.3","","0","",,"",,""
"1975-07","1975","07","20.6","","6.3","","13.5","","30.0","","-0.6","","82.6","","0.0","","82.6","","0","",,"",,""
"1975-08","1975","08","13.8","","3.1","","8.5","","21.7","","-8.9","","114.8","","0.0","","114.8","","0","",,"",,""
"1975-09","1975","09","15.3","","-0.1","","7.6","","20.6","","-4.4","","51.8","","0.0","","51.8","","0","",,"",,""
"1975-10","1975","10","3.4","","-4.1","","-0.4","","16.7","","-16.1","","52.8","","83.3","","136.1","","25","",,"",,""
"1975-11","1975","11","-4.4","","-10.7","","-7.6","","8.9","","-27.8","","0.0","","76.2","","76.2","","38","",,"",,""
"1975-12","1975","12","-7.4","","-13.6","","-10.5","","0.0","S","-31.7","","0.0","","137.2","","137.2","","99","",,"",,""
"1976-01","1976","01","-7.1","","-13.7","","-10.4","","2.8","","-28.9","","0.0","","73.7","","73.7","","107","",,"",,""
"1976-02","1976","02","-4.6","","-11.6","","-8.1","","-1.1","S","-29.4","","0.0","","78.7","","78.7","","130","",,"",,""
"1976-03","1976","03","-2.5","","-12.0","","-7.3","","6.1","","-34.4","","0.0","","97.8","","97.8","","140","",,"",,""
"1976-04","1976","04","6.7","","-4.3","","1.2","","14.4","","-16.7","","0.0","","36.8","","36.8","","99","",,"",,""
"1976-05","1976","05","11.4","","-0.5","","5.5","","17.8","","-6.1","","106.7","","0.0","T","106.7","","0","",,"",,""
